127.0.0.1 - - [02/Jul/2020:16:44:40 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:44:41 +0900] "GET /practice/kyr.html HTTP/1.1" 200 19499
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:44:41 +0900] "GET /practice/resources/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:44:41 +0900] "GET /practice/resources/images/logo_kakao_white.png HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:44:41 +0900] "GET /practice/resources/images/img01.png HTTP/1.1" 200 2446425
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:44:41 +0900] "GET /practice/resources/images/img05.jpg HTTP/1.1" 200 94086
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:44:41 +0900] "GET /practice/resources/images/img07.jpg HTTP/1.1" 200 55890
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:44:41 +0900] "GET /practice/resources/images/img06.png HTTP/1.1" 200 9201
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:44:42 +0900] "GET /practice/resources/images/favicons.png HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:44:52 +0900] "GET /practice/resources/images/logo_kakao.png HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:44:53 +0900] "GET /practice/resources/images/logo_kakao.png HTTP/1.1" 200 1954
